iter	RMSE
0	0.3474399203
1	0.3467684611
2	0.3461322259
3	0.3455314415
4	0.3450032012
5	0.3445251483
6	0.3440727101
7	0.3436564727
8	0.3432805391
9	0.3429318888
10	0.342618601
11	0.3423223582
12	0.3420407275
13	0.3417798719
14	0.3415444343
15	0.3413210298
16	0.3411024234
17	0.3409057393
18	0.3407316281
19	0.3405508593
20	0.3403956503
21	0.3402466705
22	0.3401015535
23	0.3399667477
24	0.3398394948
25	0.3397330803
26	0.3396188999
27	0.3395244692
28	0.3394328879
29	0.3393381648
30	0.3392519152
31	0.3391687895
32	0.3390924201
33	0.3390244938
34	0.338956611
35	0.3388975803
36	0.3388365675
37	0.3387847074
38	0.3387233577
39	0.3386593969
40	0.3386113059
41	0.3385594975
42	0.3385134385
43	0.3384672995
44	0.3384219484
45	0.3383815861
46	0.3383400587
47	0.3383009193
48	0.3382657128
49	0.3382297961
50	0.3381896152
51	0.3381604907
52	0.338130145
53	0.338096869
54	0.3380602888
55	0.3380310984
56	0.3380041582
57	0.3379787042
58	0.3379442911
59	0.3379138934
60	0.337882886
61	0.3378516921
62	0.3378298486
63	0.3378051885
64	0.3377748255
65	0.3377544321
66	0.3377299068
67	0.3377060428
68	0.3376831641
69	0.3376685251
70	0.337643906
71	0.3376244924
72	0.3376003645
73	0.3375752592
74	0.3375560306
75	0.3375391703
76	0.3375192693
77	0.337500559
78	0.3374802366
79	0.3374597072
80	0.3374392679
81	0.3374180951
82	0.3373998323
83	0.337385253
84	0.3373687365
85	0.3373544355
86	0.3373331763
87	0.337310657
88	0.337297048
89	0.3372770188
90	0.3372525391
91	0.3372371177
92	0.3372179066
93	0.3372011399
94	0.337187559
95	0.3371758235
96	0.3371635793
97	0.3371464949
98	0.3371306775
99	0.3371156883
100	0.3371030624
101	0.3370856367
102	0.337064018
103	0.3370508337
104	0.3370399463
105	0.3370285579
106	0.3370140069
107	0.3370025506
108	0.3369879315
109	0.3369772577
110	0.3369655484
111	0.3369524575
112	0.3369355636
113	0.3369247894
114	0.3369147296
115	0.3369045704
116	0.3368873683
117	0.3368729415
118	0.3368621264
119	0.3368505636
120	0.3368338081
121	0.3368190261
122	0.3368030261
123	0.3367892586
124	0.3367788108
125	0.3367629419
126	0.3367545711
127	0.3367388135
128	0.3367288964
129	0.3367145325
130	0.3367028733
131	0.3366873348
132	0.336675434
133	0.3366670728
134	0.3366541118
135	0.3366386809
136	0.3366288626
137	0.3366172573
138	0.3366049103
139	0.3365953828
140	0.3365787268
141	0.3365671832
142	0.336554214
143	0.3365446825
144	0.336534186
145	0.3365211496
146	0.3365086099
147	0.3364979214
148	0.3364857852
149	0.336477784
150	0.3364681265
151	0.3364581892
152	0.3364459095
153	0.3364342739
154	0.336421146
155	0.3364106381
156	0.3364013398
157	0.3363854797
158	0.3363747828
159	0.3363619961
160	0.3363513532
161	0.3363403664
162	0.3363325451
163	0.3363234221
164	0.3363132664
165	0.3363014675
166	0.3362885488
167	0.3362753014
168	0.3362658589
169	0.3362571211
170	0.3362470103
171	0.336237687
172	0.3362271095
173	0.3362125038
174	0.3362070425
175	0.3361919049
176	0.3361763892
177	0.3361615919
178	0.3361501799
179	0.3361377561
180	0.3361255128
181	0.3361147626
182	0.3361048323
183	0.3360966139
184	0.3360855945
185	0.3360776822
186	0.3360679954
187	0.3360518377
188	0.3360419377
189	0.3360307597
190	0.3360195257
191	0.336009518
192	0.3360009962
193	0.3359945275
194	0.3359889025
195	0.3359818083
196	0.3359686659
197	0.3359600441
198	0.3359505662
199	0.3359419289
