iter	Passed	Remaining
0	21	4227
1	43	4298
2	61	4062
3	77	3817
4	96	3751
5	112	3647
6	130	3584
7	149	3591
8	170	3624
9	195	3717
10	213	3662
11	230	3611
12	247	3560
13	263	3506
14	280	3462
15	298	3430
16	315	3394
17	333	3367
18	349	3330
19	366	3298
20	384	3273
21	401	3247
22	418	3221
23	436	3198
24	456	3195
25	473	3171
26	494	3167
27	512	3146
28	529	3121
29	546	3097
30	564	3075
31	582	3059
32	601	3042
33	618	3019
34	634	2993
35	651	2966
36	668	2943
37	685	2920
38	702	2899
39	719	2878
40	742	2879
41	760	2860
42	778	2843
43	797	2826
44	814	2805
45	832	2786
46	849	2765
47	867	2746
48	886	2731
49	904	2712
50	920	2688
51	936	2664
52	951	2640
53	969	2621
54	986	2601
55	1002	2578
56	1018	2555
57	1034	2532
58	1053	2516
59	1069	2495
60	1088	2479
61	1106	2462
62	1124	2446
63	1142	2427
64	1161	2412
65	1179	2395
66	1195	2373
67	1212	2354
68	1228	2333
69	1245	2312
70	1264	2297
71	1281	2278
72	1299	2260
73	1318	2244
74	1335	2226
75	1355	2211
76	1373	2193
77	1389	2172
78	1407	2156
79	1425	2138
80	1442	2119
81	1459	2100
82	1476	2081
83	1493	2061
84	1511	2044
85	1527	2025
86	1546	2008
87	1565	1992
88	1581	1971
89	1599	1954
90	1616	1936
91	1634	1918
92	1652	1900
93	1668	1881
94	1685	1862
95	1701	1843
96	1717	1823
97	1732	1803
98	1748	1784
99	1766	1766
100	1784	1749
101	1801	1731
102	1819	1713
103	1835	1694
104	1852	1676
105	1868	1656
106	1884	1638
107	1902	1620
108	1919	1602
109	1936	1584
110	1955	1568
111	1973	1550
112	1991	1533
113	2008	1514
114	2024	1496
115	2040	1477
116	2057	1459
117	2074	1441
118	2090	1422
119	2107	1404
120	2124	1386
121	2142	1369
122	2163	1354
123	2179	1335
124	2196	1318
125	2213	1299
126	2231	1282
127	2248	1264
128	2264	1246
129	2281	1228
130	2300	1211
131	2320	1195
132	2337	1177
133	2352	1158
134	2369	1140
135	2385	1122
136	2403	1105
137	2420	1087
138	2437	1069
139	2454	1051
140	2474	1035
141	2491	1017
142	2508	999
143	2523	981
144	2539	963
145	2555	945
146	2576	928
147	2594	911
148	2612	894
149	2629	876
150	2647	859
151	2668	842
152	2688	825
153	2710	809
154	2728	792
155	2747	774
156	2766	757
157	2784	740
158	2805	723
159	2822	705
160	2839	687
161	2856	670
162	2875	652
163	2891	634
164	2909	617
165	2926	599
166	2947	582
167	2965	564
168	2982	547
169	2999	529
170	3018	511
171	3034	494
172	3054	476
173	3074	459
174	3088	441
175	3107	423
176	3125	406
177	3140	388
178	3157	370
179	3177	353
180	3194	335
181	3209	317
182	3227	299
183	3247	282
184	3262	264
185	3278	246
186	3295	229
187	3315	211
188	3333	194
189	3350	176
190	3366	158
191	3383	140
192	3401	123
193	3418	105
194	3433	88
195	3449	70
196	3466	52
197	3484	35
198	3499	17
199	3516	0
